Median Depth,SiO2,CaO,MgO,Al2O3,Fe2O3,K2O,Quartz (%),Carbonate (%),Clay (%),Other (%),Total
10406,16.30537882,31.76769888,6.539272545,2.860343995,4.591424104,0.74212002,8,78,14,1,101
10409,66.98509726,7.742990578,1.432691433,8.889288794,2.531019848,2.384072846,43,11,29,17,100
10410,62.39637542,6.120453355,1.343692522,11.57491828,3.631041608,3.386244751,35,9,43,13,100
10420,69.64779932,4.124398522,1.441115089,10.51677183,4.073060036,2.729858904,45.1,9.1,38.9,15.8,108.9
10438,66.46767316,1.275411226,1.211074661,12.17576417,4.079205584,3.922970453,26,28,36,10,100
10442,66.99408106,3.018816605,1.199314707,10.98632203,3.97791072,3.249735934,36,5,48,11,100
10445,66.60957656,12.83947956,0.723134387,5.72862578,3.100486408,1.438089003,50,21,19,10,100
10450,69.85290803,1.302223349,1.094972472,11.72053449,3.811557196,3.549474877,41,1,42,16,100
10458,69.37351108,10.43679941,1.680928947,5.487937491,4.322395616,1.294069423,48,23,16,13,100
10470,64.023994,18.2193888,1.545245074,3.738166016,3.106203752,0.805357806,46,34,8,12,100
10480,84.78826163,4.787336002,0.774092531,5.859649378,1.947264404,1.366163296,45,6,33,16,100
10490,61.85512073,23.24273469,1.010646369,3.791563286,1.412367484,0.765865367,47.8,33.3,10.8,10,101.9
10494,69.63662305,7.129608854,0.82636397,8.802719462,3.268399072,2.4646279,42,12,34,12,100
10508,29.25358954,13.30565545,4.548394512,5.11267593,4.931065502,0.98033377,18,56,18,8,100
10518,53.50584121,10.14797017,0,5.928105791,1.626614126,1.05064382,46,25,16,12,99
10520,64.81301837,5.348416395,0.860803126,8.092036635,1.962534078,1.440521756,47,17,21,14,99
10526,50.08951319,12.73745199,0,4.993027085,1.485817839,0.796541741,41,38,8,13,100
10532,66.279192,5.823852955,0.616560215,6.4810116,1.526640979,1.088667028,52,17,16,14,99
10540,59.65558843,7.565954836,1.303045066,7.801434337,2.608140833,1.348065502,42,24,21,13,100
10548,50.29500159,10.81363305,1.479762756,7.315804887,3.058415011,1.260614865,25,56,11,7,99
10560,52.72971988,8.7741111,0,9.724259062,2.70439476,1.959379599,34,28,26,12,100
10570,55.35557821,9.774790842,2.009866081,4.794276286,1.741375877,0.849006338,35.5,50.8,4.5,9.2,100
10578,29.70076907,19.96967311,0.938720286,3.821065024,1.953419931,0.646734018,19,67,6,8,100
